benchmark_num,run_type,measurement
0,1,0.46253397
0,2,0.037158406
0,3,0.037691171
1,1,0.610650301
1,2,0.048488383
1,3,0.050934092
2,1,1.396069485
2,2,0.080961145
2,3,0.084554878
3,1,3.02162171
3,2,0.133933147
3,3,0.129616406
4,1,3.041626834
4,2,0.75920063
4,3,0.796099832
5,1,4.184650763
5,2,0.828085784
5,3,0.78301152
6,1,0.227687226
6,2,0.047766699
6,3,0.035752126
7,1,0.348559013
7,2,0.051515242
7,3,0.050747312
8,1,4.128052101
8,2,0.901855398
8,3,0.932169221
9,1,4.404706066
9,2,1.00746441
9,3,0.986336246
10,1,2.673922599
10,2,0.160169697
10,3,0.166423223
11,1,3.041334404
11,2,0.179402617
11,3,0.182405352
12,1,4.505253625
12,2,0.675846421
12,3,0.675620887
13,1,7.270337032
13,2,1.270896868
13,3,1.223746891
14,1,4.495065472
14,2,0.656599954
14,3,0.654115063
15,1,2.734807873
15,2,0.979836753
15,3,0.874699098
16,1,6.795665382
16,2,1.722579261
16,3,1.751881691
17,1,6.824501787
17,2,1.74540955
17,3,1.738042042
18,1,9.183125573
18,2,3.337959019
18,3,3.265056724
19,1,1.704086675
19,2,0.080394864
19,3,0.072437846
20,1,28.532298301
20,2,0.604708132
20,3,0.612086862
21,1,31.09728059
21,2,0.730309909
21,3,0.72754013
22,1,36.869137338
22,2,1.336949381
22,3,1.367562413
23,1,98.810300479
23,2,4.318801697
23,3,4.390844988
24,1,5.906679078
24,2,0.236549325
24,3,0.243135004
25,1,4.143619741
25,2,0.160338307
25,3,0.149354462
26,1,6.210047753
26,2,0.241249493
26,3,0.243290856
27,1,28.515009562
27,2,1.149712509
27,3,1.158252015
28,1,23.22071924
28,2,9.41772195
28,3,9.43845471
29,1,0.85688345
29,2,0.535619387
29,3,0.54440709
30,1,6.914319046
30,2,0.57216058
30,3,0.570108651
31,1,13.230020774
31,2,0.691255195
31,3,0.636682458
32,1,9.34386667
32,2,3.150708616
32,3,3.200822751
33,1,28.586140461
33,2,3.48110173
33,3,3.467666154
34,1,28.622548393
34,2,3.442896776
34,3,3.465528342
35,1,2.137594646
35,2,1.122478265
35,3,1.15540769
36,1,0.364387036
36,2,0.149012906
36,3,0.155900777
37,1,0.550358513
37,2,0.096588634
37,3,0.091583696
38,1,0.836532657
38,2,0.073034192
38,3,0.082260376
39,1,1.143149152
39,2,0.274401365
39,3,0.292553024
40,1,0.499817024
40,2,0.059016133
40,3,0.062895227
41,1,0.678132818
41,2,0.05422875
41,3,0.055551027
42,1,0.628570513
42,2,0.072180356
42,3,0.066718048
