benchmark_num,run_type,measurement
0,0,0.222
0,1,0.012
0,2,0.012
1,0,0.285
1,1,0.028
1,2,0.028
2,0,0.382
2,1,0.083
2,2,0.088
3,0,0.729
3,1,0.127
3,2,0.131
4,0,1.136
4,1,0.868
4,2,0.897
5,0,1.079
5,1,0.951
5,2,0.831
6,0,0.206
6,1,0.012
6,2,0.012
7,0,0.284
7,1,0.032
7,2,0.032
8,0,1.796
8,1,0.99
8,2,0.922
9,0,2.485
9,1,1.078
9,2,1.098
10,0,0.821
10,1,0.174
10,2,0.169
11,0,0.863
11,1,0.184
11,2,0.184
12,0,1.772
12,1,0.777
12,2,0.817
13,0,3.044
13,1,1.168
13,2,1.221
14,0,1.74
14,1,0.744
14,2,0.753
15,0,1.28
15,1,1.017
15,2,1.031
16,0,2.875
16,1,1.942
16,2,1.938
17,0,2.691
17,1,1.946
17,2,1.902
18,0,4.308
18,1,3.653
18,2,3.635
19,0,0.42
19,1,0.05
19,2,0.05
20,0,13.322
20,1,0.554
20,2,0.552
21,0,14.724
21,1,0.729
21,2,0.715
22,0,18.182
22,1,1.585
22,2,1.59
23,0,53.826
23,1,4.916
23,2,4.827
24,0,2.127
24,1,0.322
24,2,0.286
25,0,1.17
25,1,0.24
25,2,0.23
26,0,2.163
26,1,0.355
26,2,0.383
27,0,14.535
27,1,1.526
27,2,1.51
28,0,20.501
28,1,9.855
28,2,10.226
29,0,0.636
29,1,0.383
29,2,0.377
30,0,2.935
30,1,0.64
30,2,0.638
31,0,6.117
31,1,0.686
31,2,0.681
32,0,4.49
32,1,3.52
32,2,3.54
33,0,13.63
33,1,3.705
33,2,3.577
34,0,13.622
34,1,3.674
34,2,3.81
35,0,1.391
35,1,1.088
35,2,1.092
36,0,0.407
36,1,0.151
36,2,0.115
37,0,0.322
37,1,0.066
37,2,0.065
38,0,0.339
38,1,0.069
38,2,0.068
39,0,0.501
39,1,0.243
39,2,0.261
40,0,0.335
40,1,0.035
40,2,0.035
41,0,0.312
41,1,0.03
41,2,0.031
42,0,0.33
42,1,0.045
42,2,0.045
